Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,create_date,version,BioSampleModel,Collection_Date,doi_results,PMIDs,RunCount,replicate,geo_location,growth_conditions,sample_conditions,genotype,geo_location_missing,growth_conditions_missing,sample_conditions_missing,genotype_missing,replicate_missing
SRR13434399,RNA-Seq,300,6716361300,PRJNA691971,SAMN17311257,2255768940,HUAZHONG AGRICULTURAL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9847971,HiSeq X Ten,PAIRED,Oligo-dT,TRANSCRIPTOMIC,Citrus sinensis,ILLUMINA,2022-02-01T00:00:00Z,s31,SRP301679,2021-01-14T01:16:00Z,1.0,Plant,,"[{""link"": ""https://link.springer.com/article/10.1186/s12864-024-10445-5"", ""doi"": ""10.1186/s12864-024-10445-5"", ""status"": ""success""}, {""link"": ""https://onlinelibrary.wiley.com/doi/abs/10.1111/tpj.16519"", ""doi"": ""10.1111/tpj.16519"", ""status"": ""success""}]",,15,biological replicate 1,China: Hubei Province| China| Asia,,pulp| 200 days after flowering (DAF)| not collect| fruit,Newhall,False,True,False,False,False
SRR13434400,RNA-Seq,300,6834424800,PRJNA691971,SAMN17311256,2293715903,HUAZHONG AGRICULTURAL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9847970,HiSeq X Ten,PAIRED,Oligo-dT,TRANSCRIPTOMIC,Citrus sinensis,ILLUMINA,2022-02-01T00:00:00Z,s27,SRP301679,2021-01-14T01:16:00Z,1.0,Plant,,"[{""link"": ""https://link.springer.com/article/10.1186/s12864-024-10445-5"", ""doi"": ""10.1186/s12864-024-10445-5"", ""status"": ""success""}, {""link"": ""https://onlinelibrary.wiley.com/doi/abs/10.1111/tpj.16519"", ""doi"": ""10.1111/tpj.16519"", ""status"": ""success""}]",,15,biological replicate 3,China: Hubei Province| China| Asia,,pulp| 150 days after flowering (DAF)| not collect| fruit,Newhall,False,True,False,False,False
SRR13434401,RNA-Seq,300,6526234500,PRJNA691971,SAMN17311255,2175705518,HUAZHONG AGRICULTURAL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9847969,HiSeq X Ten,PAIRED,Oligo-dT,TRANSCRIPTOMIC,Citrus sinensis,ILLUMINA,2022-02-01T00:00:00Z,s26,SRP301679,2021-01-14T01:27:00Z,1.0,Plant,,"[{""link"": ""https://link.springer.com/article/10.1186/s12864-024-10445-5"", ""doi"": ""10.1186/s12864-024-10445-5"", ""status"": ""success""}, {""link"": ""https://onlinelibrary.wiley.com/doi/abs/10.1111/tpj.16519"", ""doi"": ""10.1111/tpj.16519"", ""status"": ""success""}]",,15,biological replicate 2,China: Hubei Province| China| Asia,,pulp| 150 days after flowering (DAF)| not collect| fruit,Newhall,False,True,False,False,False
SRR13434402,RNA-Seq,300,7361013000,PRJNA691971,SAMN17311254,2467138885,HUAZHONG AGRICULTURAL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9847968,HiSeq X Ten,PAIRED,Oligo-dT,TRANSCRIPTOMIC,Citrus sinensis,ILLUMINA,2022-02-01T00:00:00Z,s25,SRP301679,2021-01-14T00:56:00Z,1.0,Plant,,"[{""link"": ""https://link.springer.com/article/10.1186/s12864-024-10445-5"", ""doi"": ""10.1186/s12864-024-10445-5"", ""status"": ""success""}, {""link"": ""https://onlinelibrary.wiley.com/doi/abs/10.1111/tpj.16519"", ""doi"": ""10.1111/tpj.16519"", ""status"": ""success""}]",,15,biological replicate 1,China: Hubei Province| China| Asia,,pulp| 150 days after flowering (DAF)| not collect| fruit,Newhall,False,True,False,False,False
SRR13434403,RNA-Seq,300,7200933600,PRJNA691971,SAMN17311253,2409878741,HUAZHONG AGRICULTURAL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9847967,HiSeq X Ten,PAIRED,Oligo-dT,TRANSCRIPTOMIC,Citrus sinensis,ILLUMINA,2022-02-01T00:00:00Z,s21,SRP301679,2021-01-14T01:30:00Z,1.0,Plant,,"[{""link"": ""https://link.springer.com/article/10.1186/s12864-024-10445-5"", ""doi"": ""10.1186/s12864-024-10445-5"", ""status"": ""success""}, {""link"": ""https://onlinelibrary.wiley.com/doi/abs/10.1111/tpj.16519"", ""doi"": ""10.1111/tpj.16519"", ""status"": ""success""}]",,15,biological replicate 3,China: Hubei Province| China| Asia,,pulp| 120 days after flowering (DAF)| not collect| fruit,Newhall,False,True,False,False,False
SRR13434404,RNA-Seq,300,5934527100,PRJNA691971,SAMN17311252,2017165223,HUAZHONG AGRICULTURAL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9847966,HiSeq X Ten,PAIRED,Oligo-dT,TRANSCRIPTOMIC,Citrus sinensis,ILLUMINA,2022-02-01T00:00:00Z,s20,SRP301679,2021-01-14T01:30:00Z,1.0,Plant,,"[{""link"": ""https://link.springer.com/article/10.1186/s12864-024-10445-5"", ""doi"": ""10.1186/s12864-024-10445-5"", ""status"": ""success""}, {""link"": ""https://onlinelibrary.wiley.com/doi/abs/10.1111/tpj.16519"", ""doi"": ""10.1111/tpj.16519"", ""status"": ""success""}]",,15,biological replicate 2,China: Hubei Province| China| Asia,,pulp| 120 days after flowering (DAF)| not collect| fruit,Newhall,False,True,False,False,False
SRR13434405,RNA-Seq,300,7734607500,PRJNA691971,SAMN17311251,2602370534,HUAZHONG AGRICULTURAL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9847965,HiSeq X Ten,PAIRED,Oligo-dT,TRANSCRIPTOMIC,Citrus sinensis,ILLUMINA,2022-02-01T00:00:00Z,s19,SRP301679,2021-01-14T01:38:00Z,1.0,Plant,,"[{""link"": ""https://link.springer.com/article/10.1186/s12864-024-10445-5"", ""doi"": ""10.1186/s12864-024-10445-5"", ""status"": ""success""}, {""link"": ""https://onlinelibrary.wiley.com/doi/abs/10.1111/tpj.16519"", ""doi"": ""10.1111/tpj.16519"", ""status"": ""success""}]",,15,biological replicate 1,China: Hubei Province| China| Asia,,pulp| 120 days after flowering (DAF)| not collect| fruit,Newhall,False,True,False,False,False
SRR13434406,RNA-Seq,300,6573777900,PRJNA691971,SAMN17311250,2226262060,HUAZHONG AGRICULTURAL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9847964,HiSeq X Ten,PAIRED,Oligo-dT,TRANSCRIPTOMIC,Citrus sinensis,ILLUMINA,2022-02-01T00:00:00Z,s15,SRP301679,2021-01-14T00:57:00Z,1.0,Plant,,"[{""link"": ""https://link.springer.com/article/10.1186/s12864-024-10445-5"", ""doi"": ""10.1186/s12864-024-10445-5"", ""status"": ""success""}, {""link"": ""https://onlinelibrary.wiley.com/doi/abs/10.1111/tpj.16519"", ""doi"": ""10.1111/tpj.16519"", ""status"": ""success""}]",,15,biological replicate 3,China: Hubei Province| China| Asia,,pulp| 90 days after flowering (DAF)| not collect| fruit,Newhall,False,True,False,False,False
SRR13434407,RNA-Seq,300,6130764900,PRJNA691971,SAMN17311262,2057125071,HUAZHONG AGRICULTURAL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9847963,HiSeq X Ten,PAIRED,Oligo-dT,TRANSCRIPTOMIC,Citrus sinensis,ILLUMINA,2022-02-01T00:00:00Z,s39,SRP301679,2021-01-14T01:22:00Z,1.0,Plant,,"[{""link"": ""https://link.springer.com/article/10.1186/s12864-024-10445-5"", ""doi"": ""10.1186/s12864-024-10445-5"", ""status"": ""success""}, {""link"": ""https://onlinelibrary.wiley.com/doi/abs/10.1111/tpj.16519"", ""doi"": ""10.1111/tpj.16519"", ""status"": ""success""}]",,15,biological replicate 3,China: Hubei Province| China| Asia,,pulp| 230 days after flowering (DAF)| not collect| fruit,Newhall,False,True,False,False,False
SRR13434408,RNA-Seq,300,6465693900,PRJNA691971,SAMN17311261,2193617913,HUAZHONG AGRICULTURAL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9847962,HiSeq X Ten,PAIRED,Oligo-dT,TRANSCRIPTOMIC,Citrus sinensis,ILLUMINA,2022-02-01T00:00:00Z,s38,SRP301679,2021-01-14T01:21:00Z,1.0,Plant,,"[{""link"": ""https://link.springer.com/article/10.1186/s12864-024-10445-5"", ""doi"": ""10.1186/s12864-024-10445-5"", ""status"": ""success""}, {""link"": ""https://onlinelibrary.wiley.com/doi/abs/10.1111/tpj.16519"", ""doi"": ""10.1111/tpj.16519"", ""status"": ""success""}]",,15,biological replicate 2,China: Hubei Province| China| Asia,,pulp| 230 days after flowering (DAF)| not collect| fruit,Newhall,False,True,False,False,False
SRR13434409,RNA-Seq,300,6227537100,PRJNA691971,SAMN17311260,2109397964,HUAZHONG AGRICULTURAL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9847961,HiSeq X Ten,PAIRED,Oligo-dT,TRANSCRIPTOMIC,Citrus sinensis,ILLUMINA,2022-02-01T00:00:00Z,s37,SRP301679,2021-01-14T01:03:00Z,1.0,Plant,,"[{""link"": ""https://link.springer.com/article/10.1186/s12864-024-10445-5"", ""doi"": ""10.1186/s12864-024-10445-5"", ""status"": ""success""}, {""link"": ""https://onlinelibrary.wiley.com/doi/abs/10.1111/tpj.16519"", ""doi"": ""10.1111/tpj.16519"", ""status"": ""success""}]",,15,biological replicate 1,China: Hubei Province| China| Asia,,pulp| 230 days after flowering (DAF)| not collect| fruit,Newhall,False,True,False,False,False
