Run,Assay Type,AvgSpotLen,Bases,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,BioProject,Library Name,create_date,version,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,BioSampleModel,Collection_Date,lat_lon,HOST,isolation_source,Cultivar,tissue,isolate,env_broad_scale,env_local_scale,dev_stage,source_material_id,sugarcane_variety,AGE,isol_growth_condt,env_medium,env_material,treatment,Depth,elev,samp_size,Ecotype,samp_mat_process,run_id (run),nominal_length (run),samp_collect_device,Soil_Type,collection_method,sieving,store_cond,annual_precpt,annual_temp,core,cur_land_use,cur_vegetation,drainage_class,fao_class,Fwd_Primer_Barcode,local_class_meth,local_class,nucl_acid_ext,pcr_cond,plot,rel_to_oxygen,Rev_Primer_Barcode,samp_vol_we_dna_ext,seq_meth,Site,size_frac,soil_fraction,target_gene,target_subfragment,tot_nitro,tot_org_carb,PH,soil_type_meth,ph_meth,pool_dna_extracts,Soil_horizon,soil_text_measure,tot_n_meth,tot_nitro_cont_meth,tot_org_c_meth,pi_email (run),pi_name (run),pi_organization (run),broad-scale_environmental_context,environmental_medium,local_scale_environmental_context,Lat_Google_cord,Long_Google_cord,Note,previous_land_use,replicate,env_biome,env_feature,Block,CH4_yield,replicates,time,ref_biomaterial,estimated_size,num_replicons,ploidy,propagation,chem_administration,id,BIOME,chem_mutagen,feature,material,Sample_Number,sbb,sample_type,strain,BIOMATERIAL_PROVIDER,genotype,collected_by,collaborator_library_name (run),host_age,host_genotype,host_life_stage,temp,air_temp_regm,gaseous_environment,target_amplicon,watering_regm,bz,climate_environment,Root_Order,altitude,A1,Number,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),external_id,INSDC_center_name,INSDC_first_public,INSDC_last_update,PMIDs,PMID_count,Primary_PMID,PMID_source
ERR7620786,WGS,302,593282926,SAMEA11054104,232052526,"ROYAL BOTANICAL GARDENS, KEW",public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",ERX7191366,unspecified,PAIRED,Hybrid Selection,GENOMIC,Saccharum asperum,ILLUMINA,2021-12-11T00:00:00Z,SAMEA11054104,ERP133793,PRJEB49299,Target-enriched library of Saccharum asperum,2021-12-20T23:44:00Z,1.0,Brazil,South America,,,2009,,,ICN:Herbarium:ICN 168859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Longhi-Wagner\, H.M.",,,,,,,,,,,,,,,,2021-12-10,2021-12-10,SAMEA11054104,"Royal Botanical Gardens\, Kew",2021-12-10T00:12:07Z,2021-12-10T00:12:07Z,31998342;31682924;33983440,3,31998342.0,ncbi_direct
ERR7620991,WGS,302,282068906,SAMEA11054309,111496193,"ROYAL BOTANICAL GARDENS, KEW",public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",ERX7191571,unspecified,PAIRED,Hybrid Selection,GENOMIC,Saccharum narenga,ILLUMINA,2021-12-11T00:00:00Z,SAMEA11054309,ERP133793,PRJEB49299,Target-enriched library of Saccharum narenga,2021-12-20T23:46:00Z,1.0,Nepal,Asia,,,1974,,,K:Herbarium:K001418275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Schaad\, D.",,,,,,,,,,,,,,,,2021-12-10,2022-10-27,SAMEA11054309,"Royal Botanical Gardens\, Kew",2021-12-10T00:12:06Z,2021-12-10T00:12:06Z,31998342;31682924;33983440,3,31998342.0,ncbi_direct
SRR14597437,Bisulfite-Seq,300,32264547900,SAMN19238343,14611262336,GUANGXI UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10944426,Illumina NovaSeq 6000,PAIRED,RANDOM,GENOMIC,Saccharum hybrid cultivar,ILLUMINA,2022-05-06T00:00:00Z,zhongzhe No.1 BS-seq RNA-seq,SRP320593,PRJNA730638,SR2_BS-seq_Rep2,2021-05-20T02:14:00Z,1.0,China,Asia,China:Guangxi,"MIGS/MIMS/MIMARKS.plant-associated,MIGS.eu",2018-10-08,22.89 N 108.45 E,Saccharum officinarum,,zhongzhe 1,,,Farmland biome,inland,,,,,natural growth,rainwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,none
SRR14597438,Bisulfite-Seq,300,52685313900,SAMN19238343,22524315076,GUANGXI UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10944425,Illumina NovaSeq 6000,PAIRED,RANDOM,GENOMIC,Saccharum hybrid cultivar,ILLUMINA,2022-05-06T00:00:00Z,zhongzhe No.1 BS-seq RNA-seq,SRP320593,PRJNA730638,SR1_BS-seq_Rep1,2021-05-20T03:25:00Z,1.0,China,Asia,China:Guangxi,"MIGS/MIMS/MIMARKS.plant-associated,MIGS.eu",2018-10-08,22.89 N 108.45 E,Saccharum officinarum,,zhongzhe 1,,,Farmland biome,inland,,,,,natural growth,rainwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,none
SRR14597439,Bisulfite-Seq,300,53233726800,SAMN19238343,22750016483,GUANGXI UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10944424,Illumina NovaSeq 6000,PAIRED,RANDOM,GENOMIC,Saccharum hybrid cultivar,ILLUMINA,2022-05-06T00:00:00Z,zhongzhe No.1 BS-seq RNA-seq,SRP320593,PRJNA730638,SP2_BS-seq_Rep2,2021-05-20T03:29:00Z,1.0,China,Asia,China:Guangxi,"MIGS/MIMS/MIMARKS.plant-associated,MIGS.eu",2018-10-08,22.89 N 108.45 E,Saccharum officinarum,,zhongzhe 1,,,Farmland biome,inland,,,,,natural growth,rainwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,none
SRR14597440,Bisulfite-Seq,300,43795881300,SAMN19238343,17580770038,GUANGXI UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10944423,Illumina NovaSeq 6000,PAIRED,RANDOM,GENOMIC,Saccharum hybrid cultivar,ILLUMINA,2022-05-06T00:00:00Z,zhongzhe No.1 BS-seq RNA-seq,SRP320593,PRJNA730638,SP1_BS-seq_Rep1,2021-05-20T03:02:00Z,1.0,China,Asia,China:Guangxi,"MIGS/MIMS/MIMARKS.plant-associated,MIGS.eu",2018-10-08,22.89 N 108.45 E,Saccharum officinarum,,zhongzhe 1,,,Farmland biome,inland,,,,,natural growth,rainwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,none
SRR14597441,Bisulfite-Seq,300,48858654900,SAMN19238343,19414314619,GUANGXI UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10944422,Illumina NovaSeq 6000,PAIRED,RANDOM,GENOMIC,Saccharum hybrid cultivar,ILLUMINA,2022-05-06T00:00:00Z,zhongzhe No.1 BS-seq RNA-seq,SRP320593,PRJNA730638,R2_BS-seq_Rep2,2021-05-20T03:45:00Z,1.0,China,Asia,China:Guangxi,"MIGS/MIMS/MIMARKS.plant-associated,MIGS.eu",2018-10-08,22.89 N 108.45 E,Saccharum officinarum,,zhongzhe 1,,,Farmland biome,inland,,,,,natural growth,rainwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,none
SRR14597442,Bisulfite-Seq,300,55006482600,SAMN19238343,20679752737,GUANGXI UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10944421,Illumina NovaSeq 6000,PAIRED,RANDOM,GENOMIC,Saccharum hybrid cultivar,ILLUMINA,2022-05-06T00:00:00Z,zhongzhe No.1 BS-seq RNA-seq,SRP320593,PRJNA730638,R1_BS-seq_Rep1,2021-05-20T02:49:00Z,1.0,China,Asia,China:Guangxi,"MIGS/MIMS/MIMARKS.plant-associated,MIGS.eu",2018-10-08,22.89 N 108.45 E,Saccharum officinarum,,zhongzhe 1,,,Farmland biome,inland,,,,,natural growth,rainwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,none
SRR14597449,Bisulfite-Seq,300,48143018100,SAMN19238343,18143506589,GUANGXI UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10944414,Illumina NovaSeq 6000,PAIRED,RANDOM,GENOMIC,Saccharum hybrid cultivar,ILLUMINA,2022-05-06T00:00:00Z,zhongzhe No.1 BS-seq RNA-seq,SRP320593,PRJNA730638,L2_BS-seq_Rep2,2021-05-20T02:53:00Z,1.0,China,Asia,China:Guangxi,"MIGS/MIMS/MIMARKS.plant-associated,MIGS.eu",2018-10-08,22.89 N 108.45 E,Saccharum officinarum,,zhongzhe 1,,,Farmland biome,inland,,,,,natural growth,rainwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,none
SRR14597450,Bisulfite-Seq,300,35738764500,SAMN19238343,13453212472,GUANGXI UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10944413,Illumina NovaSeq 6000,PAIRED,RANDOM,GENOMIC,Saccharum hybrid cultivar,ILLUMINA,2022-05-06T00:00:00Z,zhongzhe No.1 BS-seq RNA-seq,SRP320593,PRJNA730638,L1_BS-seq_Rep1,2021-05-20T03:19:00Z,1.0,China,Asia,China:Guangxi,"MIGS/MIMS/MIMARKS.plant-associated,MIGS.eu",2018-10-08,22.89 N 108.45 E,Saccharum officinarum,,zhongzhe 1,,,Farmland biome,inland,,,,,natural growth,rainwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,none
